code,x,y
RO,-63.40930513944466,-10.834748987000001
AC,-70.7122638378865,-9.12882515
AM,-63.42995641790327,-3.7726362245
RR,-61.19974101168087,1.8458805825
PA,-51.993244521065975,-3.6246906240000003
AP,-52.025191245986065,1.634417904
TO,-48.43060156305063,-9.3197501935
MA,-45.27875409885377,-5.6541573065
PI,-41.90348037622966,-6.8389353605
CE,-39.36656926401265,-5.3206845495
RN,-36.64992295517423,-5.906779299
PB,-36.73991986637859,-7.164143117
PE,-37.9011570621996,-8.377840374
AL,-36.684291490612914,-9.656847617
SE,-37.164904166935614,-10.541793084
BA,-42.56171864264248,-13.4406347415
MG,-45.18550047063492,-18.57811812
ES,-40.43087344165255,-19.596898136
RJ,-42.06220823801085,-22.0660525755
SP,-49.2123290637154,-22.545909686999998
PR,-51.816308767244884,-24.6172965365
SC,-49.92297383832421,-27.6554315815
RS,-53.37080864128299,-30.4167793875
MS,-54.78799159607398,-20.6178304895
MT,-55.35598042687896,-12.6960533115
GO,-50.25994513804052,-15.9471754925
DF,-47.77963105536993,-15.775902773
